0.11267714	0.03833400	1.74474831
0.02749778	0.01468000	0.01007914
0.02528603	0.00541500	0.02123261
0.02588995	0.01236500	0.02833267
0.01063945	0.01389800	0.15217635
0.02424210	0.01205000	0.02488516
0.01781991	0.01151900	0.05087630
0.03305901	0.01616200	0.03592859
0.03365999	0.01169000	0.09335116
0.04825529	0.02625000	0.03955138
0.03300047	0.01560000	0.09913612
0.03340363	0.01296900	0.06783964
0.09218514	0.02950600	0.57186994
0.00051388	0.00130000	0.00131969
0.00051638	0.00000000	0.00102774
0.00063128	0.00048900	0.00226112
0.00057581	0.00132300	0.00112879
0.00123240	0.00054900	0.00190692
0.00050624	0.00118600	0.00162140
0.00136950	0.00160300	0.00095536
0.00045247	0.00047600	0.00114661
0.00081491	0.00137600	0.00061370
0.00045467	0.00000000	0.00052991
0.00029546	0.00070100	0.00078256
0.00039288	0.00121700	0.00094147
0.00091827	0.00082700	0.00128175
0.00101111	0.00142000	0.00144435
0.00078614	0.00000000	0.00273904
0.00083381	0.00100800	0.00218070
0.00174420	0.00190300	0.00494455
0.00225580	0.00165600	0.00105639
0.00189496	0.00202600	0.00276583
0.00085781	0.00154500	0.00111593
0.00043229	0.00136300	0.00506939
0.00113486	0.00188800	0.00429916
0.00160261	0.00200700	0.00434696
0.00114689	0.00186300	0.00667799
0.00061479	0.00149700	0.00152494
0.00174112	0.00000000	0.00264399
0.00155177	0.00203700	0.00404318
0.00065287	0.00156800	0.00211314
0.00143257	0.00201400	0.00112984
0.00237976	0.00242500	0.00289115
0.00215058	0.00220100	0.00305539
0.00172900	0.00071600	0.00358223
0.00092107	0.00172900	0.00115131
0.00062127	0.00000000	0.00285302
0.00064349	0.00161500	0.00234897
0.00088258	0.00161700	0.00320977
0.00521017	0.00394700	0.00457781
0.00212664	0.00243400	0.00693137
0.00222786	0.00246600	0.00287543
0.00391798	0.00305600	0.00624566
0.00654294	0.00472600	0.00472646
0.00246933	0.00260000	0.01057132
0.01127711	0.00630400	0.00710015
0.01676152	0.00734800	0.00725650
0.00163007	0.00073700	0.00532102
0.00424556	0.00380800	0.00977404
0.00714335	0.00440300	0.00739009
0.01640285	0.00772500	0.00488342
0.00019436	0.00000000	0.00038704
0.00042351	0.00110600	0.00046568
0.00037401	0.00108400	0.00056742
0.00021677	0.00098700	0.00029929
0.00043377	0.00109100	0.00055832
0.00034457	0.00000000	0.00025798
0.00017093	0.00098000	0.00051368
0.00029696	0.00103000	0.00031083
0.00021259	0.00099000	0.00054482
0.00031383	0.00107400	0.00075659
0.00049968	0.00000000	0.00072555
0.00027277	0.00106300	0.00043501
0.00047353	0.00113900	0.00065510
0.00060607	0.00117900	0.00091368
0.00079651	0.00131800	0.00059742
0.00060093	0.00000000	0.00049890
0.00023788	0.00107800	0.00171117
0.00080928	0.00071600	0.00239811
0.00074459	0.00131100	0.00152044
0.00077555	0.00133500	0.00126586
0.00036754	0.00122500	0.00128090
0.00043703	0.00124000	0.00091992
0.00058493	0.00128800	0.00099308
0.00041425	0.00124900	0.00084531
